id,source,reference_number,order_number,customer,ship_date,carrier,shipped,actual_date,pallets,pro,seal,notes,pickup_time,created_at,updated_at,synced_at,excel_row,delayed
30,TP,HCDC26302933,38344,Menards,2026-01-08,Dohrn,1,,12.0,4533901952,,PU5199322,,2026-01-30T12:40:20.681662,2026-02-02T16:06:45.924787,2026-02-02T16:06:45.924787,31,0
31,TP,92069102,"38307, 38308",Walmart,2026-01-08,WM Fleet,1,,37.0,,623905,,,2026-01-30T12:40:20.681714,2026-02-02T16:06:45.924872,2026-02-02T16:06:45.924872,32,0
32,TP,92076130,"38309, 38310",Walmart,2026-01-09,WM Fleet,1,,34.0,,623906,,,2026-01-30T12:40:20.681767,2026-02-02T16:06:45.924957,2026-02-02T16:06:45.924957,33,0
33,TP,920249257,38347-38355,Auto Zone,2026-01-13,Uber,1,,26.0,,670386,,,2026-01-30T12:40:20.681876,2026-02-02T16:06:45.925040,2026-02-02T16:06:45.925040,34,0
34,TP,67588845,38315-38341,Target,2026-01-13,Dohrn,1,,1.0,4533901998,,,,2026-01-30T12:40:20.681966,2026-02-02T16:06:45.925125,2026-02-02T16:06:45.925125,35,0
35,TP,42570665,38304,Walmart,2026-01-13,FedEx Parcel,1,,11.0,438750181494,,fedex,,2026-01-30T12:40:20.682031,2026-02-02T16:06:45.925208,2026-02-02T16:06:45.925208,36,0
36,TP,231288722,B - SO38360,Home Depot,2026-01-15,JB Hunt,1,,1.0,,623673,,,2026-01-30T12:40:20.682091,2026-02-02T16:06:45.925290,2026-02-02T16:06:45.925290,37,0
37,TP,231288817,B - SO38358,Home Depot,2026-01-15,AAACT,1,,1.0,730100203,,PU# 64643602,,2026-01-30T12:40:20.682154,2026-02-02T16:06:45.925373,2026-02-02T16:06:45.925373,38,0
38,TP,231288818,B - SO38359,Home Depot,2026-01-15,Estes,1,,1.0,0960778124,,Pickup 117028695,,2026-01-30T12:40:20.682213,2026-02-02T16:06:45.925454,2026-02-02T16:06:45.925454,39,0
39,TP,92128666,"38356, 38357",Walmart,2026-01-15,WM Fleet,1,,34.0,,623939,,,2026-01-30T12:40:20.682301,2026-02-02T16:06:45.925535,2026-02-02T16:06:45.925535,40,0
40,TP,92158381,"38361, 38362",Walmart,2026-01-19,WM Fleet,1,,34.0,,623922,,,2026-01-30T12:40:20.682324,2026-02-02T16:06:45.925618,2026-02-02T16:06:45.925618,41,0
41,TP,920772172,38022-38372,Auto Zone,2026-01-20,Uber,1,,31.0,,670478,,,2026-01-30T12:40:20.682342,2026-02-02T16:06:45.925699,2026-02-02T16:06:45.925699,42,0
42,TP,920772166,38024-38373,Auto Zone,2026-01-20,Uber,1,,37.0,,670479,,,2026-01-30T12:40:20.682361,2026-02-02T16:06:45.925781,2026-02-02T16:06:45.925781,43,0
43,TP,SHDC26378530,38419,Menards,2026-01-21,Dohrn,1,,11.0,88870204,,PU5247555,,2026-01-30T12:40:20.682379,2026-02-02T16:06:45.925862,2026-02-02T16:06:45.925862,44,0
44,TP,HCDC26384580,38420,Menards,2026-01-21,Dohrn,1,,15.0,88870203,,PU5247536,,2026-01-30T12:40:20.682398,2026-02-02T16:06:45.925945,2026-02-02T16:06:45.925945,45,0
45,TP,PLDC26390600,38421,Menards,2026-01-21,Dohrn,1,,14.0,88870205,,PU5247658,,2026-01-30T12:40:20.682417,2026-02-02T16:06:45.926027,2026-02-02T16:06:45.926027,46,0
46,TP,ECDC26376542,38422,Menards,2026-01-21,Dohrn,1,,14.0,4533902005,,PU5247637,,2026-01-30T12:40:20.682436,2026-02-02T16:06:45.926107,2026-02-02T16:06:45.926107,47,0
47,TP,42670695,38342,Walmart,2026-01-21,Central Transport,1,,1.0,338633001,,,,2026-01-30T12:40:20.682455,2026-02-02T16:06:45.926203,2026-02-02T16:06:45.926203,48,0
48,TP,231341642,B - SO38390,Home Depot,2026-01-22,Estes,1,,1.0,0960778131,,Pickup # 0117215339,,2026-01-30T12:40:20.682474,2026-02-02T16:06:45.926287,2026-02-02T16:06:45.926287,49,0
49,TP,92211876,"38374, 38375",Walmart,2026-01-22,WM Fleet,1,,36.0,,623927,,,2026-01-30T12:40:20.682492,2026-02-02T16:06:45.926366,2026-02-02T16:06:45.926366,50,0
